feature,disease
Limb Reduction or Amputation,Odontotrichomelic hypohidrotic dysplasia
Limb Reduction or Amputation,Olmsted syndrome (keratoderma palms/soles)
Limb Reduction or Amputation,Oromandibular-limb hypogenesis
Limb Reduction or Amputation,Poland sequence
Limb Reduction or Amputation,"Postaxial acrofacial dysostosis syndrome, Miller type"
Limb Reduction or Amputation,Prune-belly syndrome
Limb Reduction or Amputation,Psoriasis
Limb Reduction or Amputation,Pterygium syndrome (popliteal)
Limb Reduction or Amputation,Radiation injury
Limb Reduction or Amputation,Roberts syndrome
Limb Reduction or Amputation,"Schinzel phocomelia syndrome: phocomelia, oligodactyly, and acrania"
Limb Reduction or Amputation,Scleroderma
Limb Reduction or Amputation,Sirenomelia
Limb Reduction or Amputation,TAR syndrome
Limb Reduction or Amputation,Tetra-amelia-multiple malformations (familial)
Limb Reduction or Amputation,"Tetra-amelia, ectodermal dysplasia, lacrimal duct anomaly, and mental retardation; siblings"
Limb Reduction or Amputation,"Tetra-amelia, lung hypo/aplasia, cleft lip/palate, and heart defect; siblings"
Limb Reduction or Amputation,Thalidomide embryopathy
Limb Reduction or Amputation,Thermal injury
Limb Reduction or Amputation,Twin-to-twin transfusion syndrome
Limb Reduction or Amputation,Urethral obstruction sequence and lower limb deficiency
Limb Reduction or Amputation,Vohwinkel syndrome
Limb Reduction or Amputation,von Voss syndrome (DK-phocomelia syndrome)
